"book_id","title","topics"
"88","고백 보험을 해지합니다","#인공지능 #청소년 #고백보험 #기술과인간 #청소년소설 #SF소설 #문학"
"89","언어는 어떻게 인간을 바꾸는가","#언어와인간관계 #언어와심리 #문화심리학 #의사소통과윤리 #언어의사회영향"
"94","영화의 언어","#영화의언어 #미학적분석 #감각의디체 #영화제작기술 #영화와예술"
"99","바로크의 로마","#바로크예술 #로마역사 #가톨릭교회 #예술과종교 #17세기미술 #문화와예술"
"100","근접한 세계","#윤리적딜레마 #한국사회 #일본사회 #서구문학 #인간관계"
"101","만약 세상에서 까마귀가 사라진다면","#까마귀 #생태계 #생태계파괴 #환경문제 #생명존중"
"102","건강 구독 사회","#건강구독사회 #항산화·디톡스 #영양제섭취 #건강관리루틴 #기술과건강"
"107","친절한 땅콩 호텔","#인간관계 #호텔의일상 #자녀와의소통 #감성적교감 #어린이문학"
"109","패티(Patti)","#개인주의 #미국사회 #여성예술가 #자기성찰 #예술과삶"
"112","한용운·신채호","#한용운·신채호 #위기사상 #전지구적위기 #역사적사상"
"114","구름 사람들","#구름사람들 #빈민가 #가난의상상 #사회적불평등 #문학작품"
"119","미국은 왜 전쟁을 멈추지 못하는가","미국외교 #군산복합체 #방산로비 #국제안보 #9·11테러 #국제질서 #세계패권"
"125","포식자들의 시간","#AI시대 #AI권력 #정치적포식자 #기술패권과정치 #빅테크비판 #극우정치"
"132","너무 희미한 존재들","#성장강요 #은둔청년 #정치적상황 #사회적고립 #세대갈등 #사회적안전망"
"133","어번던스","#경쟁과불평등 #미국사회의쇠퇴 #생태계재건 #토착적지식 #대안적삶"
"141","눈에 보이지 않는 전쟁과 돈의 역사","#전쟁과돈 #돈의흐름 #폭력과전쟁 #전쟁의역사 #돈의역사 #국제정세"
"146","오종찬 기자의 Oh! 컷","#사진의인문학 #예술가의삶 #20년차기자 #빛나는순간"
"151","쾌적한 사회의 불쾌함","#쾌적한사회 #불쾌한경험 #병든사회 #사회불평등 #건강과사회"
"152","인터메초","#현대인의불안 #형제관계 #인간관계 #상실이후의삶 #변화와회복 #소설"
"153","셔터우의 세 자매","중국문학 #세자매 #가족드라마 #역사적배경 #사회비판 #소설"
"154","불필요한 여자","#여성의일생, #전쟁과일상, #중동배경"
"157","허균의 맛","#조선시대음식 #역사속식문학 #음식문화 #방풍죽"
"164","천문대에 피아노가 떨어졌다","#천문학 #예술과삶 #상상력 #경계의미학"
"168","2024 AI 트렌드 : 한발 더 빠르게, 누구보다 깊이 있게 AI로 송두리째 바뀔 세상을 포착하다","#인공지능 #미래기술 #산업혁신 #AI트렌드 #디지털전환"
"176","공룡의 이동 경로 : 김화진 소설","#인간관계 #소설 #마음의이동 #글쓰기 #관계의복잡성"
"179","혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법","#고독사 #1인가구 #존엄한죽음 #사회적고립 #건강관리 #자기결정 #개인적대비책"
"181","80억 인류, 가보지 않은 미래 : 한중일 고령화, 서구의 극단주의, 신흥국의 인구폭발까지 세계정세의 대전환을 꿰뚫는 인구통계학의 통찰","#인구통계학 #고령화사회 #세계정세 #인구변동 #대전환기"
"187","프랑스의 음식문화사 : 프랑스 음식은 어떻게 세계 최고가 되었나","#프랑스음식문화 #미식의역사 #유네스코인류문화유산 #고대갈리아시대 #요리발전에미친영향 #음식의역사"
"190","경성 맛집 산책","#경성시대 #음식문화 #식민지시대 #맛집탐방 #역사속일상"
"191","미국이 만든 가난 : 가장 부유한 국가에 존재하는 빈곤의 진실","#미국빈곤 #자본주의비판 #경제불평등 #사회문제 #아메리칸드림"
"194","뉴럴 링크 : 21세기를 이끄는 거대한 연결, 뇌-컴퓨터 인터페이스","#뇌와행동 #기술패권과정치 #자연과학 #미래기술 #BCI기술"
"198","출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙","#현대인의불안 #뇌와행동 #상실이후의삶 #심리적회복 #스트레스관리"
"202","친애하는 슐츠 씨 : 오래된 편견을 넘어선 사람들","#미국사회 #차별과편견 #탄생의배경 #인권운동 #사회적불평등"
"209","AGI 시대와 인간의 미래 : 챗GPT 이후의 삶, 일자리 그리고 교육","#AGI시대 #인공지능과일자리 #생성형AI #미래기술과교육 #범용인공지능"
"211","윈터 씨의 해빙기 : 슈테판 쿨만 장편소설","#상실과회복 #인간관계 #마음의고립 #사랑과관계 #인생의갈등 #소설"
"214","외로움의 습격 : 모두, 홀로 남겨질 것이다","#외로움 #사회적고립 #현대인의불안 #인간관계 #사회적안전망 #사회적해법"
"218","가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록","#빈곤과불평등 #청소년기 #사회적고립 #가정환경 #청소년빈곤 #청년빈곤 #더나은공동체 #사회적안전망"
"221","내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다","#자기인식 #내면탐구 #인간심리 #존재론적질문 #고독과소통"
"226","완벽이라는 중독 : 불안한 완벽주의자를 위한 심리학","#완벽주의 #불안 #심리학 #자기몰아세움 #정신건강"
"228","기술은 세상을 어떻게 바꾸는가 : 최초의 질문에서 패러다임이 되기까지","#기술의발전 #혁신기술 #기술과사회 #사회적조건 #기술이야기 #명쾌한설명"
"235","(교양인이 알아야 할) 음식의 역사 : 인류는 무엇을 어떻게 먹어왔을까, 그리고 미래에도 그렇게 먹을 수 있을까","#음식의역사 #인류의식습관 #문화와음식 #식습성과사회 #미래의식생활"
"238","텔로미어","#텔로미어 #노화와수명 #생명진화 #세포분열 #염색체과학"
"253","100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들","#우주역사 #과학의물리학 #천체관측 #NASA #인문과학"
"257","AI 시대 창의적 인간 : 인간은 어떻게 인공지능과 공존할 것인가","#AI시대 #창의적인간 #크리지먼트 #인간과AI의협력 #창의성확장 #새로운지평"
"261","다정함이 인격이다 : 임상심리전문가 김선희가 전하는 다정함의 심리학","#다정함 #다정함의심리학 #다정한관계 #인간관계 #상담심리"
"266","먼저 온 미래 : AI 이후의 세계를 경험한 사람들","#인공지능의영향 #바둑과인공지능 #AI시대 #기술과인간 #논픽션르포"
"277","내게 남은 스물다섯 번의 계절 : 슈테판 셰퍼 소설","#스물다섯 #트라우마 #괴짜농부 #회복 #인간관계"
"282","낯섦과 공존 : AI 시대의 세계관 확장 수업","#AI시대 #세계관확장 #낯선기술 #공존의방식 #기술과인간"
"285","철학자 16인의 인생수업 : MBTI로 만나는 각양각색 인생 답안지","#철학입문 #MBTI #인생의방향 #철학자와인생 #소크라테스"
"290","잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙","#대화의원칙 #소통의기술 #갈등해결 #경청의미 #관계의심리학"
"293","茶가일상 : 차 한잔에 이렇게 재미있는 역사·문화·예술·영화 스토리가?","#차의역사 #차이야기 #아편전쟁 #영화와차 #차덕후 #음식문화"
